"titulo";"localizacion";"precio";"ascensor";"baños";"trastero";"piso";"habitaciones";"metros_reales";"condicion";"armarios_empotrados";"terraza";"balcon";"garaje";"calefaccion";"aire_acondicionado";"newLocation";"region";"buy_sell_price";"gross_profitability"
"Alquiler de Estudio en calle constitucion el punatl s/n";"El Puntal";425;1;1;0;"Intermedios";0;30;"Segunda mano/buen estado";1;0;0;0;1;1;"el puntal";NA;88033;5.79328206468029
"Alquiler de Piso en calle Torrevieja";"Lo Pagán";400;0;1;0;"Primero";1;60;"Segunda mano/buen estado";1;1;1;0;1;0;"lo pagan";NA;129322;3.7116654552203
"Alquiler de Estudio en carril De Los Arcos s/n";"La Ñora";430;0;1;0;"Primero";0;40;"Segunda mano/buen estado";0;1;0;1;1;1;"la nora";NA;77814;6.63119747089213
"Alquiler de Ático en calle alcacil, 20";"Gea y Truyols";610;1;2;0;"Intermedios";2;125;"Segunda mano/buen estado";1;1;1;1;1;1;"gea y truyols";NA;201543;3.63197927985591
"Alquiler de Piso en calle turroneros s/n";"San Andrés-San Antolín";595;1;1;0;"Intermedios";1;65;"Segunda mano/buen estado";1;0;0;0;1;1;"san andres-san antolin";NA;104026;6.86366869821006
"Alquiler de Estudio en calle manga murcia, 5";"San Nicolás";450;1;1;0;"Intermedios";0;30;"Segunda mano/buen estado";1;0;0;0;1;0;"san nicolas";"Region from Substring Match";76226;7.08419699315194
"Alquiler de Piso en El Carmen";"el carmen";650;0;1;0;"Intermedios";2;75;"Segunda mano/buen estado";0;0;0;0;0;1;"el carmen";NA;70848;11.0094850948509
"Alquiler de Piso en calle Doctor Fleming";"San Lorenzo";850;1;1;0;"Intermedios";3;100;"Segunda mano/buen estado";1;1;1;0;0;0;"san lorenzo";NA;127992;7.96924807800488
"Alquiler de Piso en avenida sandoval";"Santiago de la Ribera";500;1;2;0;"Primero";3;125;"Segunda mano/buen estado";1;0;1;0;1;1;"santiago de la ribera";NA;215038;2.79020452199146
"Alquiler de Piso en avenida Marqués de Los Vélez";"Vista Alegre";1100;1;1;0;"Ultimos_pisos";3;80;"Segunda mano/buen estado";1;0;0;0;0;1;"vista alegre";NA;171335;7.70420521201156
"Alquiler de Piso en calle Cassola, 1";"Centro";400;0;2;0;"Primero";3;100;"Segunda mano/buen estado";0;0;1;0;0;1;"centro";NA;165869;2.89384996593697
"Alquiler de Piso en San Lorenzo";"san lorenzo";1100;1;2;0;"Intermedios";4;163;"Segunda mano/buen estado";1;1;1;0;1;1;"san lorenzo";NA;236528;5.5807346276128
"Alquiler de Chalet adosado en calle Cabo Huertas";"Santiago de la Ribera";450;0;2;1;"Muchas_plantas";2;115;"Segunda mano/buen estado";1;1;0;0;1;1;"santiago de la ribera";NA;217206;2.48611916797879
"Alquiler de Piso en plaza del Cardenal Belluga";"Catedral";1450;1;2;0;"Intermedios";3;150;"Segunda mano/buen estado";1;0;1;0;0;1;"catedral";NA;200604;8.67380510857211
"Alquiler de Ático en La Purísima-Barriomar";"la purísima-barriomar";550;1;1;0;"Intermedios";1;60;"Segunda mano/buen estado";1;1;0;0;1;1;"la purisima-barriomar";NA;118226;5.58252837785259
